timestamp,config,prefill_replicas,prefill_size,decode_replicas,decode_size,total_gpus,peak_kv_pct,est_max_c_90pct,stairs_completed,error
2026-06-21T12:02:50+02:00,P2/D4,1,2,1,4,24,4.45,5177,true,
2026-06-21T12:17:44+02:00,P2/D4,1,2,1,4,24,4.67,4930,true,
