timestamp	tx_byte_counter	rx_byte_counter
1772731655765731326	28039102706680	20477486910024
1772731655765940057	28039102706680	20477486910168
1772731655766151033	28039102706680	20477486910168
1772731655766363687	28039102706680	20477486910168
1772731655766573191	28039102706680	20477486910168
1772731655766783967	28039102706680	20477486910168
1772731655766995503	28039102706680	20477486910168
1772731655767204056	28039102706680	20477486910168
1772731655767413230	28039102706680	20477486910168
1772731655767623758	28039102706680	20477486910168
1772731655767836837	28039102706680	20477486910168
1772731655768045556	28039102706680	20477486910168
1772731655768249884	28039102706680	20477486910168
1772731655768459827	28039102706680	20477486910168
1772731655768668542	28039102706680	20477486910168
1772731655768878829	28039102706680	20477486910168
1772731655769090553	28039102706680	20477486910168
1772731655769298037	28039102706680	20477486910168
1772731655769506783	28039102706680	20477486910168
1772731655769715483	28039102706680	20477486910168
1772731655769926315	28039102706680	20477486910168
1772731655770139173	28039102706680	20477486910168
1772731655786806183	28039102706680	20477486910168
1772731655787016680	28039102706680	20477486910316
1772731655787228215	28039102706680	20477486910316
1772731655787439256	28039102706680	20477486910316
1772731655787649496	28039102706680	20477486910316
1772731655787861611	28039102706680	20477486910316
1772731655788065621	28039102706680	20477486910316
1772731655788272123	28039102706680	20477486910316
1772731655788483410	28039102706680	20477486910316
1772731655788695008	28039102706680	20477486910316
1772731655788909801	28039102706680	20477486910316
1772731655789118932	28039102706680	20477486910316
1772731655789329448	28039102706680	20477486910316
1772731655789540116	28039102706680	20477486910316
1772731655789750023	28039102706680	20477486910316
1772731655789959216	28039102706680	20477486910316
1772731655790166151	28039102706680	20477486910316
1772731655790373004	28039102706680	20477486910316
1772731655790580403	28039102706680	20477486910316
1772731655790790156	28039102706680	20477486910316
1772731655791003069	28039102706680	20477486910316
1772731655791213748	28039102706680	20477486910316
1772731655966683235	28039102706680	20477486910316
1772731655966895517	28039102706680	20477486910456
1772731655967104879	28039102706680	20477486910456
1772731655967313683	28039102706680	20477486910456
1772731655967525392	28039102706680	20477486910456
1772731655967735848	28039102706680	20477486910456
1772731655967944743	28039102706680	20477486910456
1772731655968156531	28039102706680	20477486910456
1772731655968367309	28039102706680	20477486910456
1772731655968578498	28039102706680	20477486910456
1772731655968789362	28039102706680	20477486910456
1772731655969001600	28039102706680	20477486910456
1772731655969216776	28039102706680	20477486910456
1772731655969426082	28039102706680	20477486910456
1772731655969634113	28039102706680	20477486910456
1772731655969844930	28039102706680	20477486910456
1772731655970057033	28039102706680	20477486910456
1772731655970270263	28039102706680	20477486910456
1772731655970478151	28039102706680	20477486910456
1772731655970694748	28039102706680	20477486910456
1772731655970898486	28039102706680	20477486910456
1772731655971108254	28039102706680	20477486910456
1772731655987737466	28039102706680	20477486910456
1772731655987952014	28039102706680	20477486910604
1772731655988156718	28039102706680	20477486910604
1772731655988365397	28039102706680	20477486910604
1772731655988577923	28039102706680	20477486910604
1772731655988788123	28039102706680	20477486910604
1772731655989000067	28039102706680	20477486910604
1772731655989211242	28039102706680	20477486910604
1772731655989422827	28039102706680	20477486910604
1772731655989632188	28039102706680	20477486910604
1772731655989840253	28039102706680	20477486910604
1772731655990050382	28039102706680	20477486910604
1772731655990261780	28039102706680	20477486910604
1772731655990474501	28039102706680	20477486910604
1772731655990685364	28039102706680	20477486910604
1772731655990899848	28039102706680	20477486910604
1772731655991112448	28039102706680	20477486910604
1772731655991322045	28039102706680	20477486910604
1772731655991530473	28039102706680	20477486910604
1772731655991740301	28039102706680	20477486910604
1772731655991954197	28039102706680	20477486910604
1772731655992162334	28039102706680	20477486910604
1772731667978559286	28039102706680	20477486910604
1772731667978753170	28039102706948	20477486910832
1772731667978956150	28039102707520	20477486910832
1772731667979156932	28039102707520	20477486910832
1772731667979379200	28039102707520	20477486910832
1772731667979586651	28039102707520	20477486910832
1772731667979788616	28039102707520	20477486910832
1772731667979988469	28039102707520	20477486910832
1772731667980186332	28039102707520	20477486910832
1772731667980389922	28039102707520	20477486910832
1772731667980593240	28039102707520	20477486910832
1772731667980795532	28039102707520	20477486910832
1772731667981009255	28039102707520	20477486910832
1772731667981215824	28039102707520	20477486910832
1772731667981440226	28039102707520	20477486910832
1772731667981655350	28039102707520	20477486910832
1772731667981860875	28039102707520	20477486910832
1772731667982059941	28039102707520	20477486910832
