timestamp	tx_byte_counter	rx_byte_counter
1772726270067736786	18399475340328	2412060995772
1772726270067939009	18399475340328	2412061049804
1772726270068140400	18399475352536	2412065999596
1772726270068348199	18399475374144	2412070803932
1772726270068549302	18399475395680	2412075990620
1772726270068766302	18399475418916	2412081227180
1772726270068988327	18399475443632	2412086762972
1772726270069219630	18399475467312	2412091966284
1772726270069439788	18399475490472	2412097036604
1772726270069652496	18399475512896	2412102106924
1772726270069872243	18399475536352	2412107301924
1772726270070089330	18399475559072	2412112426272
1772726270070300418	18399475580976	2412117708548
1772726270070506692	18399475615164	2412127067860
1772726270070716545	18399475657196	2412136876020
1772726270070936981	18399475700780	2412146006752
1772726270071141089	18399475741036	2412155070988
1772726270071349603	18399475783144	2412164850060
1772726270071567661	18399475826728	2412174654060
1772726270071909812	18399475862840	2412178153412
1772726270072123121	18399475884152	2412187674808
1772726270072348913	18399475926408	2412197632588
1772726270072571700	18399475972140	2412207935308
1772726270072915078	18399476010028	2412211871040
1772726270073129309	18399476035408	2412221675044
1772726270073339224	18399476078032	2412231026044
1772726270073543142	18399476120656	2412241740212
1772726270073775078	18399476168980	2412251743708
1772726270073987430	18399476205164	2412257774060
1772726270074206523	18399476229216	2412263089584
1772726270074418525	18399476252304	2412268226400
1772726270074628797	18399476275612	2412273600108
1772726270074847128	18399476299960	2412279065248
1772726270075063364	18399476334296	2412288902500
1772726270075274138	18399476377216	2412298490396
1772726270075485642	18399476420504	2412308161404
1772726270075703563	18399476464092	2412317853196
1772726270075917302	18399476507824	2412327441092
1772726270076124782	18399476550152	2412337515232
1772726270076340792	18399476595516	2412347718212
1772726270076555809	18399476638436	2412356952844
1772726270076761343	18399476682096	2412367164140
1772726270076981297	18399476727236	2412377051260
1772726270077192971	18399476771488	2412386867732
1772726270077410970	18399476815812	2412396800572
1772726270077628431	18399476859472	2412406725100
1772726270077842168	18399476903356	2412416724436
1772726270078055973	18399476947312	2412426653120
1772726270078272075	18399476991340	2412436581804
1772726270078486692	18399477034704	2412446128140
1772726270078692937	18399477079180	2412455233932
1772726270078909444	18399477107596	2412460786348
1772726270079136907	18399477134308	2412466554876
1772726270079366868	18399477158728	2412469530572
1772726270079588722	18399477158876	2412469530572
1772726270079804309	18399477158876	2412469530572
1772726270080016206	18399477158876	2412469597068
1772726270080231957	18399477171900	2412474866876
1772726270080439796	18399477195136	2412480115904
1772726270080649054	18399477219040	2412485572732
1772726270080871121	18399477244272	2412491191644
1772726270081094660	18399477268396	2412497895276
1772726270081316445	18399477308876	2412507961104
1772726270081525742	18399477353868	2412517702772
1772726270081742280	18399477398564	2412528138484
1772726270081959238	18399477444220	2412538349776
1772726270082173522	18399477489360	2412548432236
1772726270082389996	18399477534576	2412558323516
1772726270082608901	18399477578236	2412568522336
1772726270082827248	18399477624040	2412578783500
1772726270083041493	18399477667924	2412588171904
1772726270083244500	18399477709732	2412597647584
1772726270083443180	18399477751692	2412607676012
1772726270083666011	18399477798236	2412617521580
1772726270083877333	18399477840788	2412627142716
1772726270084086886	18399477881264	2412634407404
1772726270084302967	18399477904872	2412639494348
1772726270084505933	18399477916636	2412639760332
1772726270084715966	18399477916636	2412639760332
1772726270084937586	18399477916636	2412639760332
1772726270085149912	18399477916636	2412639760332
1772726270085359283	18399477916636	2412639760332
1772726270085567378	18399477916636	2412641763524
1772726270085769290	18399477937284	2412646725788
1772726270085972390	18399477960076	2412651945724
1772726270086186649	18399477983384	2412657099164
1772726270086390546	18399478005956	2412662136236
1772726270086593868	18399478028524	2412667248116
1772726270086799876	18399478051612	2412672430652
1772726270087007642	18399478074332	2412677513436
1772726270087210389	18399478096828	2412682583756
1772726270087413421	18399478119248	2412687587580
1772726270087614960	18399478141672	2412692603872
1772726270087816479	18399478163872	2412697616012
1772726270088021424	18399478186664	2412702740356
1772726270088224401	18399478209012	2412707785740
1772726270088429090	18399478231580	2412712814500
1772726270088629145	18399478254964	2412717992876
1772726270088833760	18399478276868	2412723071508
1772726270089042639	18399478300032	2412728353788
1772726270089254018	18399478323488	2412733552940
1772726270089463932	18399478346724	2412738806124
1772726270089671450	18399478369812	2412741914812
1772726270089881898	18399478371368	2412741914812
1772726270090090548	18399478371368	2412741914812
1772726270090299910	18399478371368	2412741914812
1772726270090504364	18399478371368	2412741914812
1772726270090712653	18399478371368	2412741914812
1772726270090920982	18399478371368	2412741914812
1772726270091128782	18399478371368	2412741914812
1772726270091338840	18399478371368	2412741914812
1772726270091544352	18399478371368	2412741914812
1772726270091753096	18399478371368	2412741914812
1772726270091962588	18399478371368	2412741914812
1772726270092167948	18399478371368	2412741914812
1772726270092375926	18399478371368	2412741914812
1772726270092575958	18399478371368	2412741914812
1772726270092777537	18399478371368	2412741914812
1772726270092985364	18399478371368	2412741914812
1772726270093187498	18399478371368	2412741914812
1772726270093386869	18399478371368	2412741914812
1772726270093585292	18399478371368	2412741914812
1772726270093787298	18399478371368	2412741914812
1772726270093989107	18399478371368	2412741914812
1772726275480549995	18399478371368	2412741914812
1772726275480755118	18399478371368	2412742018716
1772726275480959214	18399478397712	2412751993116
1772726275481165424	18399478443296	2412762495324
1772726275481380884	18399478490952	2412773234428
1772726275481599104	18399478538680	2412783973532
1772726275481818187	18399478586708	2412794774976
1772726275482034891	18399478634140	2412805460048
1772726275482255394	18399478682388	2412816244876
1772726275482475273	18399478730268	2412826871764
1772726275482688334	18399478777108	2412837365664
1772726275482899057	18399478822988	2412847556176
1772726275483106549	18399478868500	2412857717596
1772726275483313137	18399478913564	2412868007852
1772726275483525367	18399478959668	2412878414476
1772726275483737215	18399479006436	2412888900064
1772726275483950474	18399479052464	2412899119668
1772726275484158627	18399479099972	2412910220344
1772726275484385533	18399479149552	2412921350112
1772726275484611738	18399479198612	2412932375980
1772726275484836845	18399479247676	2412943617964
1772726275485065534	18399479297772	2412954514992
1772726275485403162	18399479344984	2412964904992
1772726275485615843	18399479391088	2412975141220
1772726275485823991	18399479436524	2412985215364
1772726275486026406	18399479480848	2412995306132
1772726275486234395	18399479527988	2413006124200
1772726275486562070	18399479575052	2413016564076
1772726275486774400	18399479620932	2413027062128
1772726275486987392	18399479667624	2413037452128
1772726275487202628	18399479714616	2413047788100
1772726275487409305	18399479759904	2413058016020
1772726275487617215	18399479805192	2413068218996
1772726275487826778	18399479851144	2413078392884
1772726275488032374	18399479896136	2413088649892
1772726275488241462	18399479941868	2413098861184
1772726275488446727	18399479986712	2413108752464
1772726275488651330	18399480031188	2413119042720
1772726275488859201	18399480077880	2413129665456
1772726275489076297	18399480124648	2413140184292
1772726275489290187	18399480171860	2413150757152
1772726275489505552	18399480219000	2413161338332
1772726275489721341	18399480266728	2413172031724
1772726275489938711	18399480313792	2413182496528
1772726275490151929	18399480359896	2413193002896
1772726275490365130	18399480407032	2413203584072
1772726275490580746	18399480454024	2413214144468
1772726275490795915	18399480501236	2413224688240
1772726275491010371	18399480548744	2413235365004
1772726275491228202	18399480595732	2413245892156
1772726275491442138	18399480641908	2413256390208
1772726275491655669	18399480689048	2413266917356
1772726275491870671	18399480736184	2413277527628
1772726275492085842	18399480783028	2413288021524
1772726275492299368	18399480829796	2413298590236
1772726275492514722	18399480876932	2413309154784
1772726275492729822	18399480923184	2413319524004
1772726275492940671	18399480969952	2413329934788
1772726275493153352	18399481016424	2413340403748
1772726275493365637	18399481062748	2413350818684
1772726275493578270	18399481109292	2413361266868
1772726275493790866	18399481155764	2413371706740
1772726275494003130	18399481202164	2413382150768
1772726275494215930	18399481248784	2413392603108
1772726275494428465	18399481295180	2413403059604
1772726275494641159	18399481341652	2413413499476
1772726275494853908	18399481387976	2413422833852
1772726275495063296	18399481402408	2413422833852
1772726275495272774	18399481402408	2413422833852
1772726275495481174	18399481402408	2413422833852
1772726275495693587	18399481402408	2413422833852
1772726275495903093	18399481402408	2413422833852
1772726275496103909	18399481402408	2413422833852
1772726275496305979	18399481402408	2413422833852
1772726275496509251	18399481402408	2413422833852
1772726275496710433	18399481402408	2413422833852
