timestamp	tx_byte_counter	rx_byte_counter
1772728114527685578	10562149033820	13687205109336
1772728114527895679	10562149033820	13687205116660
1772728114528124963	10562151087872	13687205140192
1772728114528371440	10562153590988	13687205161356
1772728114528601825	10562155969364	13687205181336
1772728114528816711	10562158223000	13687205201244
1772728114529033020	10562160460004	13687205223296
1772728114529272491	10562163071228	13687205245272
1772728114529511983	10562165399708	13687205266216
1772728114529739173	10562167740664	13687205287008
1772728114529966085	10562170809268	13687205323860
1772728114530225461	10562175383068	13687205367596
1772728114530478429	10562180098240	13687205406444
1772728114530709083	10562184522352	13687205446848
1772728114530932277	10562188110704	13687205461576
1772728114531154153	10562188875776	13687205466236
1772728114531366570	10562189391368	13687205470824
1772728114531576689	10562189940224	13687205475856
1772728114531811947	10562190505712	13687205480740
1772728114532034468	10562191029620	13687205483108
1772728114532255376	10562191304048	13687205490212
1772728114532532122	10562192077436	13687205494580
1772728114532740025	10562192534816	13687205499092
1772728114532949673	10562192900720	13687205502052
1772728114533158314	10562193432944	13687205506788
1772728114533374234	10562193965168	13687205512708
1772728114533639377	10562194630448	13687205517444
1772728114533860095	10562195162672	13687205524548
1772728114534120748	10562195961008	13687205529284
1772728114534338055	10562196484916	13687205533872
1772728114534549422	10562197025456	13687205538756
1772728114534765140	10562197557680	13687205544676
1772728114535035089	10562198314436	13687205551264
1772728114535271930	10562198938136	13687205556516
1772728114535482886	10562199511940	13687205561476
1772728114535697791	10562200235432	13687205568284
1772728114535920016	10562200933976	13687205573684
1772728114536130649	10562201507780	13687205579236
1772728114536339903	10562202214640	13687205585672
1772728114536545975	10562202830024	13687205591148
1772728114536754882	10562203420460	13687205596624
1772728114536964037	10562204060792	13687205602768
1772728114537172311	10562204634596	13687205607652
1772728114537393466	10562205424616	13687205614680
1772728114537625413	10562206173056	13687205621340
1772728114537846757	10562206830020	13687205626892
1772728114538060287	10562207503616	13687205632516
1772728114538276289	10562208106528	13687205639396
1772728114538495290	10562208942284	13687205645540
1772728114538709191	10562209640828	13687205651460
1772728114538917019	10562210306108	13687205657824
1772728114539128887	10562210938124	13687205663004
1772728114539340254	10562211624196	13687205669588
1772728114539585509	10562212351844	13687205676324
1772728114539799085	10562213108600	13687205682688
1772728114540018925	10562213748932	13687205687868
1772728114540228155	10562214347684	13687205693788
1772728114540439492	10562215071176	13687205699708
1772728114540658470	10562215844564	13687205706516
1772728114540877914	10562216435000	13687205712508
1772728114541085436	10562217116912	13687205718504
1772728114541302620	10562217857036	13687205725016
1772728114541520360	10562218472420	13687205730712
1772728114541734251	10562219212544	13687205736780
1772728114541944012	10562219769716	13687205742108
1772728114542154434	10562220459944	13687205748324
1772728114542368872	10562221175120	13687205753800
1772728114542584132	10562221765556	13687205759796
1772728114542788309	10562222422520	13687205765864
1772728114542997891	10562223129380	13687205771856
1772728114543215727	10562223827924	13687205777776
1772728114543428269	10562224501520	13687205783624
1772728114543640894	10562225208380	13687205791392
1772728114543854296	10562226114824	13687205798424
1772728114544066798	10562226805052	13687205805008
1772728114544278978	10562227520228	13687205811300
1772728114544488284	10562228252036	13687205817440
1772728114544701195	10562228933948	13687205823584
1772728114544912825	10562229615860	13687205830020
1772728114545123611	10562230339352	13687205836164
1772728114545334561	10562231096108	13687205842676
1772728114545543264	10562231778020	13687205848520
1772728114545753316	10562232493196	13687205855476
1772728114545964226	10562233158476	13687205861396
1772728114546173979	10562233848704	13687205867464
1772728114546383785	10562234513984	13687205873384
1772728114546591890	10562235162632	13687205879232
1772728114546803355	10562235852860	13687205885596
1772728114547014629	10562236597144	13687205891884
1772728114547227095	10562237333108	13687205898176
1772728114547440626	10562238098180	13687205905204
1772728114547652435	10562238796724	13687205912456
1772728114547864652	10562239636640	13687205918896
1772728114548078599	10562240385080	13687205925260
1772728114548291673	10562241033728	13687205931104
1772728114548498279	10562241707324	13687205937396
1772728114548712072	10562242414184	13687205944056
1772728114548924068	10562243137676	13687205950272
1772728114549134291	10562243852852	13687205956340
1772728114549347149	10562244667820	13687205963960
1772728114549561854	10562245391312	13687205970620
1772728114549772864	10562246173016	13687205976836
1772728114549984429	10562246954720	13687205984828
1772728114550197261	10562247744740	13687205990600
1772728114550404898	10562248426652	13687205997112
1772728114550619292	10562249133512	13687206003256
1772728114550828728	10562249836216	13687206009544
1772728114551036870	10562250547232	13687206015836
1772728114551248062	10562251220828	13687206021828
1772728114551457564	10562251894424	13687206027972
1772728114551668946	10562252592968	13687206034188
1772728114551881114	10562253324776	13687206040476
1772728114552092524	10562253981740	13687206046620
1772728114552298146	10562254688600	13687206052836
1772728114552511690	10562255395460	13687206059272
1772728114552725616	10562256085688	13687206065416
1772728114552935073	10562256834128	13687206071484
1772728114553148101	10562257516040	13687206078144
1772728114553358959	10562258247848	13687206084656
1772728114553568889	10562258938076	13687206090648
1772728114553780122	10562259611672	13687206096568
1772728114553988104	10562260293584	13687206102340
1772728114554197290	10562260950548	13687206108336
1772728114554408170	10562261615828	13687206114700
1772728114554618520	10562262322688	13687206120620
1772728114554824435	10562262938072	13687206126464
1772728114555031235	10562263644932	13687206132088
1772728114555239829	10562264310212	13687206138156
1772728114555449994	10562264975492	13687206144076
1772728114555658482	10562265649088	13687206150368
1772728114555870118	10562266389212	13687206156804
1772728114556081617	10562267079440	13687206163020
1772728114556291385	10562267736404	13687206168792
1772728114556502663	10562268451580	13687206174860
1772728114556708860	10562269133492	13687206181448
1772728114556922205	10562269890248	13687206187812
1772728114557128695	10562270538896	13687206193508
1772728114557339545	10562271212492	13687206200096
1772728114557548648	10562271911036	13687206206016
