timestamp	tx_byte_counter	rx_byte_counter
1772728114527923810	15936489916304	2900000921352
1772728114528136096	15936489916304	2900001711372
1772728114528345764	15936489934284	2900003915112
1772728114528559133	15936489953672	2900006060640
1772728114528766493	15936489972396	2900008231116
1772728114528977229	15936489992152	2900010459804
1772728114529192728	15936490012132	2900012755020
1772728114529414537	15936490032632	2900015004496
1772728114529633158	15936490052388	2900017253976
1772728114529848995	15936490072220	2900019432768
1772728114530062610	15936490091684	2900022064780
1772728114530292797	15936490129940	2900027295544
1772728114530577718	15936490172048	2900031590760
1772728114530812331	15936490212228	2900036305932
1772728114531045269	15936490253448	2900040738360
1772728114531924426	15936490287708	2900043989916
1772728114533915546	15936490333884	2900050243548
1772728114535521762	15936490367480	2900052813192
1772728114536610135	15936490396340	2900057607364
1772728114538235540	15936490460056	2900065673884
1772728114540788500	15936490512520	2900070621904
1772728114542149456	15936490551372	2900074858908
1772728114543836016	15936490600432	2900078821480
1772728114545349158	15936490655488	2900087582388
1772728114547724023	15936490718980	2900094355768
1772728114550048074	15936490793796	2900100692560
1772728114551310254	15936490828056	2900104547028
1772728114552372479	15936490857212	2900107208148
1772728114553167411	15936490880892	2900109860952
1772728114553958307	15936490904572	2900112517912
1772728114554780723	15936490928252	2900115220612
1772728114555624906	15936490951860	2900117865100
1772728114556433580	15936490975908	2900120551168
1772728114557235794	15936490999516	2900123241396
1772728114558057289	15936491023640	2900125939936
1772728114558853188	15936491047468	2900128601056
1772728114559655532	15936491071072	2900131291284
1772728114560463481	15936491095124	2900133989824
1772728114561242347	15936491119100	2900136650944
1772728114562056488	15936491142852	2900139328696
1772728114562867057	15936491166608	2900142027240
1772728114563683747	15936491190584	2900144700832
1772728114564476131	15936491214708	2900147386900
1772728114565268153	15936491238536	2900150081284
1772728114566084976	15936491262436	2900152792300
1772728114566882550	15936491286488	2900155461736
1772728114567710493	15936491309872	2900158068804
1772728114568514032	15936491333552	2900160792292
1772728114569325874	15936491357452	2900163420148
1772728114570142648	15936491381060	2900166081268
1772728114570977996	15936491404960	2900168746548
1772728114571804228	15936491428196	2900171374404
1772728114572604497	15936491451876	2900174634276
1772728114573772529	15936491486656	2900177960676
1772728114574587930	15936491510040	2900180609320
1772728114575382391	15936491533648	2900183474184
1772728114576272227	15936491561544	2900187370228
1772728114577376279	15936491603208	2900191465860
1772728114578666999	15936491632584	2900195407644
1772728114579760495	15936491671436	2900198734044
1772728114580738787	15936491695708	2900202072916
1772728114582086780	15936491741068	2900208326548
1772728114584081629	15936491799232	2900214135276
1772728114585268026	15936491834532	2900217045876
1772728114586068946	15936491858064	2900219727784
1772728114586875339	15936491884036	2900222813020
1772728114587974095	15936491915636	2900226139420
1772728114588769396	15936491938872	2900228813016
1772728114589568827	15936491962848	2900231478292
1772728114590577218	15936491995704	2900238995956
1772728114592794309	15936492060232	2900243465808
1772728114593915662	15936492093900	2900246247508
1772728114594730642	15936492117952	2900249436696
1772728114595763929	15936492149696	2900252721516
1772728114596690673	15936492175672	2900255399268
1772728114597679197	15936492205272	2900259307788
1772728114598693020	15936492234352	2900262642504
1772728114599825303	15936492272832	2900268334804
1772728114601636603	15936492323892	2900272667440
1772728114602621005	15936492353344	2900275769308
1772728114603633279	15936492391752	2900280072840
1772728114604870753	15936492419132	2900282709012
1772728114605697521	15936492442292	2900286234996
1772728114606840318	15936492477592	2900289341020
1772728114607647674	15936492501420	2900292056196
1772728114608453275	15936492525468	2900295004216
1772728114609348055	15936492555216	2900298072820
1772728114610272188	15936492579268	2900300742256
1772728114611226355	15936492608424	2900304617512
1772728114612201162	15936492637652	2900307316056
1772728114612992187	15936492661480	2900310052020
1772728114613792846	15936492685532	2900312733928
1772728114614601170	15936492709952	2900315424156
1772728114615426889	15936492733632	2900318126856
1772728114616229733	15936492757904	2900320817080
1772728114617014920	15936492781436	2900323494832
1772728114617820165	15936492805412	2900326155952
1772728114618604194	15936492829016	2900328800440
1772728114619402783	15936492852844	2900331469876
1772728114620223623	15936492876228	2900334143472
1772728114621024289	15936492900352	2900336821224
1772728114621826845	15936492924256	2900339532240
1772728114622651386	15936492948084	2900342201676
1772728114623468592	15936492971912	2900344883584
1772728114624287360	15936492995740	2900347553020
1772728114625086405	15936493019420	2900350226616
1772728114625898749	15936493043248	2900352879420
1772728114626686477	15936493067296	2900355607068
1772728114627459587	15936493091124	2900358326400
1772728114628252292	15936493115768	2900361037416
1772728114629049873	15936493139300	2900363719324
1772728114629839488	15936493163572	2900366434500
1772728114630629035	15936493187620	2900369145516
1772728114631423423	15936493211968	2900371844056
1772728114632223684	15936493235796	2900374550916
1772728114633009407	15936493259400	2900377232824
1772728114633817699	15936493283600	2900379935524
1772728114634592898	15936493307872	2900382617436
1772728114635394531	15936493331552	2900385315976
1772728114636176926	15936493355676	2900388035308
1772728114636972306	15936493379800	2900390758800
1772728114637753718	15936493404072	2900393411604
1772728114638575754	15936493427232	2900396072724
1772728114639361837	15936493451208	2900398754632
1772728114640162975	15936493473928	2900401436544
1772728114640935094	15936493497828	2900404105980
1772728114641754896	15936493521656	2900406808680
1772728114642562193	15936493545560	2900409507220
1772728114643332628	15936493569756	2900412209920
1772728114644119091	15936493593584	2900414879356
1772728114644912310	15936493617488	2900417590372
1772728114645725052	15936493641760	2900420297232
1772728114646543811	15936493665440	2900422950036
1772728114647347259	15936493689488	2900425623628
1772728114648143064	15936493713168	2900428334644
1772728114648957621	15936493737072	2900430991608
1772728114649743507	15936493760900	2900433702624
1772728114650566506	15936493784800	2900436376216
1772728114651362833	15936493808408	2900438999916
1772728114652169673	15936493832088	2900441715088
1772728114652981447	15936493856212	2900444409472
1772728114653781239	15936493880408	2900447128804
1772728114654571583	15936493904312	2900449810716
1772728114655360368	15936493928288	2900452546680
1772728114656169600	15936493952560	2900455253536
1772728114656946126	15936493976904	2900457956236
1772728114657750913	15936494000660	2900460625672
1772728114658552256	15936494024708	2900463320056
1772728114659348928	15936494048684	2900466014440
1772728114660153546	15936494072884	2900468688036
1772728114660950470	15936494096120	2900471407368
1772728114661753042	15936494120612	2900474101752
1772728114662548869	15936494144812	2900476846032
1772728114663335264	15936494169380	2900479586152
1772728114664112730	15936494193356	2900482276380
1772728114664918028	15936494217184	2900484958288
1772728114665724518	15936494241604	2900487681780
1772728114666515224	15936494265136	2900490367848
1772728114667295779	15936494289036	2900493049756
1772728114668103514	15936494312792	2900495673456
1772728114668895962	15936494336324	2900498367840
1772728114669672457	15936494360448	2900501024800
1772728114670473726	15936494383756	2900503677604
1772728114671276934	15936494407660	2900506330408
1772728114672056663	15936494431192	2900509024792
1772728114672867425	15936494455240	2900511727492
1772728114673660799	15936494478920	2900514363664
1772728114674458572	15936494502452	2900516983204
1772728114675255828	15936494525688	2900519636008
1772728114676046819	15936494549516	2900522284656
1772728114676833727	15936494573640	2900525020620
1772728114677634589	15936494597468	2900527706688
1772728114678425414	15936494621816	2900530388596
1772728114679196570	15936494645568	2900533116244
1772728114679989753	15936494669620	2900535798156
1772728114680791996	15936494693372	2900538500856
1772728114681579193	15936494717496	2900541245136
1772728114682403118	15936494740732	2900543885464
1772728114683227256	15936494764412	2900546554900
1772728114684056460	15936494788168	2900549236812
1772728114684850742	15936494812068	2900551877140
1772728114685668302	15936494835528	2900554600632
1772728114686457551	15936494859576	2900557282540
1772728114687248979	15936494883184	2900559927028
1772728114688071042	15936494907084	2900562629728
1772728114688862026	15936494930840	2900565286692
1772728114689716043	15936494954592	2900567981076
1772728114690524915	15936494978792	2900570683776
1772728114691305545	15936495002692	2900573357368
1772728114692106477	15936495026520	2900576039280
1772728114692937259	15936495050424	2900578700400
1772728114693753311	15936495074028	2900581403100
1772728114694565343	15936495098228	2900584080852
1772728114695370966	15936495121908	2900586725340
1772728114696185319	15936495145292	2900589365668
1772728114697027163	15936495168600	2900592006000
1772728114697844975	15936495192504	2900594687908
1772728114698671967	15936495216552	2900597382292
1772728114699517992	15936495240160	2900600047572
1772728114700334156	15936495263988	2900602712848
1772728114701123507	15936495287964	2900605407232
1772728114701921686	15936495311716	2900608055880
1772728114702751610	15936495335028	2900610733632
