timestamp	tx_byte_counter	rx_byte_counter
1772754254313138553	20336884798240	20849400980392
1772754254313352761	20336884798240	20849403075016
1772754254313573193	20336884828432	20849410426984
1772754254313797689	20336884861140	20849417808040
1772754254314018936	20336884893848	20849425130912
1772754254314240436	20336884926336	20849432491184
1772754254314461184	20336884958968	20849439643660
1772754254314680540	20336884990492	20849446804448
1772754254314902989	20336885022460	20849453990172
1772754254315124772	20336885054948	20849461279800
1772754254315347620	20336885087284	20849468573576
1772754254315570846	20336885119400	20849475813332
1772754254315792568	20336885151368	20849482787096
1772754254316009923	20336885181856	20849489569688
1772754254316223823	20336885211976	20849496468648
1772754254316438645	20336885242908	20849503263708
1772754254316650167	20336885273024	20849510083704
1772754254316867811	20336885303440	20849516903700
1772754254317083621	20336885333484	20849523682136
1772754254317297373	20336885363676	20849530369144
1772754254317506435	20336885393644	20849536362092
1772754254317788957	20336885419620	20849542961820
1772754254318004484	20336885449440	20849549607268
1772754254318218006	20336885479116	20849556335832
1772754254318429654	20336885508640	20849562881528
1772754254318638908	20336885539128	20849569801272
1772754254318955801	20336885568876	20849576421776
1772754254319169406	20336885598180	20849583083844
1772754254319383466	20336885628152	20849589812408
1772754254319599093	20336885658120	20849596545128
1772754254319815205	20336885688240	20849603252912
1772754254320029287	20336885718060	20849610056288
1772754254320246301	20336885748180	20849616726664
1772754254320457647	20336885777928	20849623559128
1772754254320672418	20336885808784	20849630470556
1772754254320887545	20336885839496	20849637677064
1772754254321108875	20336885871536	20849644480432
1772754254321320417	20336885901876	20849651524856
1772754254321541302	20336885934068	20849658664860
1772754254321759724	20336885965000	20849665497324
1772754254321974246	20336885995560	20849672412908
1772754254322189651	20336886026420	20849679453172
1772754254322412422	20336886057648	20849686335512
1772754254322633044	20336886088432	20849693425644
1772754254322854386	20336886120176	20849700428504
1772754254323071280	20336886151036	20849707431368
1772754254323286404	20336886182188	20849714459160
1772754254323510013	20336886213788	20849721570076
1772754254323733457	20336886245532	20849728618652
1772754254323954233	20336886276836	20849735596572
1772754254324174378	20336886308136	20849742732428
1772754254324398936	20336886339292	20849749643856
1772754254324622359	20336886370224	20849756605160
1772754254324846477	20336886401376	20849763641264
1772754254325062659	20336886432604	20849770802056
1772754254325286057	20336886464648	20849777954528
1772754254325508361	20336886496540	20849785148564
1772754254325732672	20336886529248	20849792533780
1772754254325955258	20336886561292	20849799615600
1772754254326176610	20336886593036	20849806901068
1772754254326401142	20336886625892	20849814103416
1772754254326622138	20336886656824	20849820840296
1772754254326838337	20336886686500	20849827568856
1772754254327057474	20336886717136	20849834542624
1772754254327279381	20336886748436	20849841636920
1772754254327500781	20336886779960	20849848826800
1772754254327722485	20336886813484	20849856349160
1772754254327953473	20336886845452	20849863580600
1772754254328177514	20336886878232	20849870866064
1772754254328396311	20336886909608	20849877756712
1772754254328616681	20336886940912	20849884884252
1772754254328835243	20336886972656	20849892074136
1772754254329056078	20336887004848	20849899276480
1772754254329277656	20336887037036	20849906549480
1772754254329497178	20336887068856	20849913544028
1772754254329709890	20336887099716	20849920447144
1772754254329928964	20336887130944	20849927533128
1772754254330151049	20336887162540	20849934772876
1772754254330374939	20336887194584	20849941875480
1772754254330599655	20336887226328	20849949040424
1772754254330820089	20336887257852	20849956097312
1772754254331044743	20336887289304	20849963145888
1772754254331267026	20336887320900	20849970219400
1772754254331487177	20336887351760	20849977134984
1772754254331707531	20336887382912	20849984129532
1772754254331928823	20336887413772	20849991094988
1772754254332150341	20336887445220	20849998156032
1772754254332374029	20336887476744	20850005217080
1772754254332594864	20336887508048	20850012228248
1772754254332816168	20336887539200	20850019293448
1772754254333037273	20336887570208	20850026167472
1772754254333259941	20336887601212	20850033224360
1772754254333483920	20336887632736	20850040256312
1772754254333702889	20336887663448	20850047196832
1772754254333925028	20336887694600	20850054166448
1772754254334147281	20336887725384	20850061065404
1772754254334369005	20336887756168	20850068188792
1772754254334597451	20336887788212	20850075162560
1772754254334818953	20336887819144	20850081899432
1772754254335040750	20336887829280	20850081899432
1772754254335259353	20336887829280	20850081899432
1772754254335479893	20336887829280	20850081899432
1772754254335699046	20336887829280	20850081899432
1772754254335918622	20336887829280	20850081899432
1772754254336140491	20336887829280	20850081899432
1772754254336362196	20336887829280	20850081899432
1772754254336582774	20336887829280	20850081899432
1772754254336804779	20336887829280	20850081899432
1772754254337025800	20336887829280	20850081899432
1772754254337243365	20336887829280	20850081899432
1772754254337459699	20336887829280	20850081899432
1772754254337679618	20336887829280	20850081899432
1772754254337902797	20336887829280	20850081899432
1772754254338122055	20336887829280	20850081899432
1772754254338343098	20336887829280	20850081899432
1772754254338564674	20336887829280	20850081899432
1772754254338778831	20336887829280	20850081899432
1772754254338999722	20336887829280	20850081899432
1772754254339221475	20336887829280	20850081899432
1772754254339443763	20336887829280	20850081899432
1772754259758717138	20336887829280	20850081899432
1772754259758917767	20336887829280	20850083694824
1772754259759120788	20336887856440	20850090361048
1772754259759325088	20336887886556	20850097230920
1772754259759533328	20336887917120	20850104092472
1772754259759737366	20336887947460	20850110862600
1772754259759944772	20336887977800	20850117670124
1772754259760152059	20336888007992	20850124411160
