timestamp	tx_byte_counter	rx_byte_counter
1772754254313171001	2898954092256	5868635889116
1772754254313382640	2898957745380	5868635929596
1772754254313662771	2898967013260	5868635971404
1772754254313949357	2898976522184	5868636014104
1772754254314239070	2898986105924	5868636055912
1772754254314521343	2898995269904	5868636096984
1772754254314808708	2899004600120	5868636138868
1772754254315097842	2899014063336	5868636180824
1772754254315386572	2899023447584	5868636222192
1772754254315674259	2899032648964	5868636262816
1772754254315960438	2899041854508	5868636304036
1772754254316251834	2899051139012	5868636345624
1772754254316542267	2899060361176	5868636386176
1772754254316826564	2899069375536	5868636426728
1772754254317115746	2899078626792	5868636467796
1772754254317406501	2899087898832	5868636495324
1772754254317661540	2899092408088	5868636528552
1772754254317938415	2899101414144	5868636568956
1772754254318229472	2899110524096	5868636609656
1772754254318520317	2899118320752	5868636632744
1772754254318779652	2899124770864	5868636672704
1772754254319068348	2899133594052	5868636712144
1772754254319352281	2899142716468	5868636752476
1772754254319644126	2899151734992	5868636792804
1772754254319932521	2899160828320	5868636833504
1772754254320224315	2899170017232	5868636874724
1772754254320516444	2899179343296	5868636916312
1772754254320807294	2899188673520	5868636957752
1772754254321094466	2899197949712	5868636999192
1772754254321384735	2899207263304	5868637040704
1772754254321674919	2899216597680	5868637082072
1772754254321963887	2899225919592	5868637123364
1772754254322252697	2899235087728	5868637164284
1772754254322545718	2899244301580	5868637205060
1772754254322829266	2899253473872	5868637245980
1772754254323117669	2899262679408	5868637287272
1772754254323407234	2899271951448	5868637328120
1772754254323695224	2899281086336	5868637368748
1772754254323982134	2899290200444	5868637409596
1772754254324272029	2899299322864	5868637449924
1772754254324563271	2899308416192	5868637490552
1772754254324854315	2899317646664	5868637531992
1772754254325141790	2899326935328	5868637573356
1772754254325428858	2899336236456	5868637614796
1772754254325716648	2899345620704	5868637656384
1772754254326004208	2899354909360	5868637698344
1772754254326295478	2899364393356	5868637739488
1772754254326584961	2899373499152	5868637780040
1772754254326877288	2899382563384	5868637820516
1772754254327166872	2899391710744	5868637861588
1772754254327452036	2899400928752	5868637902952
1772754254327740486	2899410279752	5868637944392
1772754254328029443	2899419680624	5868637986424
1772754254328316841	2899428998376	5868638027716
1772754254328607619	2899438324440	5868638069232
1772754254328891758	2899447625568	5868638110596
1772754254329176414	2899456943320	5868638152260
1772754254329464130	2899466369128	5868638193920
1772754254329751462	2899475591292	5868638234844
1772754254330041025	2899484817612	5868638275988
1772754254330327493	2899494031464	5868638317056
1772754254330617234	2899503295188	5868638357980
1772754254330908427	2899512471636	5868638398604
1772754254331195917	2899521602368	5868638439824
1772754254331486997	2899530866088	5868638480744
1772754254331778492	2899540059164	5868638521964
1772754254332070766	2899549285480	5868638562884
1772754254332358443	2899558391280	5868638603364
1772754254332647012	2899567600976	5868638644432
1772754254332937896	2899576951976	5868638686096
1772754254333238137	2899586086864	5868638726500
1772754254333524759	2899595230064	5868638767420
1772754254333815652	2899604418976	5868638807824
1772754254334103187	2899613346064	5868638847636
1772754254334393898	2899622426928	5868638888188
1772754254334680471	2899631416352	5868638920156
1772754254334958324	2899635011296	5868638920156
1772754254335172459	2899635011296	5868638920156
1772754254335384948	2899635011296	5868638920156
1772754254335598095	2899635011296	5868638920156
1772754254335812294	2899635011296	5868638920156
1772754254336024996	2899635011296	5868638920156
1772754254336238715	2899635011296	5868638920156
1772754254336447695	2899635011296	5868638920156
1772754254336660597	2899635011296	5868638920156
1772754254336870481	2899635011296	5868638920156
1772754254337081994	2899635011296	5868638920156
1772754254337295221	2899635011296	5868638920156
1772754254337507030	2899635011296	5868638920156
1772754254337720297	2899635011296	5868638920156
1772754254337934793	2899635011296	5868638920156
1772754254338146808	2899635011296	5868638920156
1772754254338359060	2899635011296	5868638920156
1772754254338572249	2899635011296	5868638920156
1772754254338781442	2899635011296	5868638920156
1772754254338991445	2899635011296	5868638920156
1772754254339203776	2899635011296	5868638920156
1772754259758647593	2899635011296	5868638920156
1772754259758860649	2899635011296	5868638944060
1772754259759115976	2899644258396	5868638986164
1772754259759402020	2899653717452	5868639028196
1772754259759685965	2899663168192	5868639070376
1772754259759973553	2899672602316	5868639111596
1772754259760258632	2899681820320	5868639152592
1772754259760546910	2899691142232	5868639194548
1772754259760834185	2899700484920	5868639236064
1772754259761121540	2899709748640	5868639277356
1772754259761411647	2899719045616	5868639318424
1772754259761700042	2899728288560	5868639359792
1772754259761986994	2899737448384	5868639400492
1772754259762275640	2899746707952	5868639441856
1772754259762565859	2899755975832	5868639482928
1772754259762854921	2899765173056	5868639523776
1772754259763145298	2899774291320	5868639542644
1772754259763400005	2899779261900	5868639586452
